Hybridization REF	TCGA-01-0630-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-19b-2*	4.710968095
hsa-miR-200a	7.639042707
hsa-miR-200a*	5.83274442
hsa-miR-200b	11.1970599
hsa-miR-200b*	6.054291237
hsa-miR-200c	11.70977304
hsa-miR-200c*	4.774214877
hsa-miR-202	10.51747769
hsa-miR-202*	4.723006556
hsa-miR-203	4.241379503
hsa-miR-204	6.043878893
hsa-miR-205	5.275459929
hsa-miR-206	5.825438026
hsa-miR-208a	4.516253506
hsa-miR-208b	4.574892836
hsa-miR-20a	7.603478332
hsa-miR-20a*	4.198868668
hsa-miR-20b	5.919154335
hsa-miR-20b*	4.558822336
hsa-miR-21	13.17565401
hsa-miR-21*	7.506112598
hsa-miR-210	11.13196431
hsa-miR-211	4.919843629
hsa-miR-212	5.997026033
hsa-miR-214	9.085917658
hsa-miR-214*	5.768139337
hsa-miR-215	5.076676356
hsa-miR-216a	4.781218832
hsa-miR-216b	4.557610453
hsa-miR-217	4.595933041
hsa-miR-218	5.803678119
hsa-miR-218-1*	4.594516002
hsa-miR-218-2*	4.500842837
hsa-miR-219-1-3p	4.542420849
hsa-miR-219-2-3p	4.688667015
hsa-miR-219-5p	4.990991671
hsa-miR-22	14.53378901
hsa-miR-22*	4.530504012
hsa-miR-220a	4.630092617
hsa-miR-220b	4.589595737
hsa-miR-220c	4.816407115
hsa-miR-221	6.428906214
hsa-miR-221*	4.811966035
hsa-miR-222	9.122535005
hsa-miR-222*	4.58582625
hsa-miR-223	7.323393203
hsa-miR-223*	4.641135202
hsa-miR-224	4.274986262
hsa-miR-23a	11.00645725
hsa-miR-23a*	5.537637384
hsa-miR-23b	11.82439698
hsa-miR-23b*	5.071838878
hsa-miR-24	13.09940641
hsa-miR-24-1*	5.536355643
hsa-miR-24-2*	4.574463859
hsa-miR-25	8.872691202
hsa-miR-25*	4.586298484
hsa-miR-26a	14.09156188
hsa-miR-26a-1*	4.643715585
hsa-miR-26a-2*	4.704871043
hsa-miR-26b	8.582812179
hsa-miR-26b*	4.705698031
hsa-miR-27a	10.60875279
hsa-miR-27a*	4.627681462
hsa-miR-27b	12.00047414
hsa-miR-27b*	5.08497695
hsa-miR-28-3p	6.273616938
hsa-miR-28-5p	6.604532643
hsa-miR-296-3p	4.673814276
hsa-miR-296-5p	5.430066554
hsa-miR-297	4.535575618
hsa-miR-298	4.721371252
hsa-miR-299-3p	6.020021015
hsa-miR-299-5p	5.420107135
hsa-miR-29a	12.55118209
hsa-miR-29a*	4.467256499
hsa-miR-29b	10.95419805
hsa-miR-29b-1*	4.44035179
hsa-miR-29b-2*	4.561443898
hsa-miR-29c	12.89130668
hsa-miR-29c*	6.531766086
hsa-miR-300	4.620492325
hsa-miR-301a	5.460679833
hsa-miR-301b	5.067379006
hsa-miR-302a	4.713294772
hsa-miR-302a*	4.669735195
hsa-miR-302b	4.701156904
hsa-miR-302b*	4.656065481
hsa-miR-302c	4.695901476
hsa-miR-302c*	4.741929109
hsa-miR-302d	4.644827961
hsa-miR-302d*	4.548961681
hsa-miR-30a	12.73198966
hsa-miR-30a*	8.096583232
hsa-miR-30b	10.64936527
hsa-miR-30b*	5.553276627
hsa-miR-30c	9.670094428
hsa-miR-30c-1*	4.959925273
hsa-miR-30c-2*	5.571126754
hsa-miR-30d	13.40676063
hsa-miR-30d*	5.75142789
hsa-miR-30e	10.44156614
hsa-miR-30e*	6.228437024
hsa-miR-31	7.46698375
hsa-miR-31*	4.525110903
hsa-miR-32	3.98727182
hsa-miR-32*	4.525938675
hsa-miR-320	11.76413231
hsa-miR-323-3p	4.81439691
hsa-miR-323-5p	4.543912974
hsa-miR-324-3p	9.526387194
hsa-miR-324-5p	6.8548877
hsa-miR-325	4.621248167
hsa-miR-326	4.836327594
hsa-miR-328	4.976329033
hsa-miR-329	4.802874168
hsa-miR-330-3p	5.509626945
hsa-miR-330-5p	4.620967958
hsa-miR-331-3p	8.749345815
hsa-miR-331-5p	4.900997672
hsa-miR-335	5.194122129
hsa-miR-335*	4.195579505
hsa-miR-337-3p	4.768714179
hsa-miR-337-5p	6.031249141
hsa-miR-338-3p	7.512326501
hsa-miR-338-5p	5.097089822
hsa-miR-339-3p	5.927429651
hsa-miR-339-5p	5.135408882
hsa-miR-33a	5.620453312
hsa-miR-33a*	4.554459086
hsa-miR-33b	5.140949423
hsa-miR-33b*	5.151287019
hsa-miR-340	5.422328072
hsa-miR-340*	4.497920037
hsa-miR-342-3p	11.09705043
hsa-miR-342-5p	5.872397996
hsa-miR-345	5.435984601
hsa-miR-346	4.680799367
hsa-miR-34a	9.344168649
hsa-miR-34a*	4.842843041
hsa-miR-34b	8.305108202
hsa-miR-34b*	11.00956665
hsa-miR-34c-3p	6.985393146
hsa-miR-34c-5p	8.753792836
hsa-miR-361-3p	6.825545115
hsa-miR-361-5p	8.860771793
hsa-miR-362-3p	4.693460778
hsa-miR-362-5p	7.064436882
hsa-miR-363	5.092197064
hsa-miR-363*	4.578505791
hsa-miR-365	6.751681732
hsa-miR-367	4.742136422
hsa-miR-367*	4.652843046
hsa-miR-369-3p	4.696725931
hsa-miR-369-5p	4.793214916
hsa-miR-370	6.083894605
hsa-miR-371-3p	4.738544935
hsa-miR-371-5p	6.443140279
hsa-miR-372	4.627901235
hsa-miR-373	4.951660679
hsa-miR-373*	5.580136576
hsa-miR-374a	6.492964829
hsa-miR-374a*	4.70083808
hsa-miR-374b	7.960994538
hsa-miR-374b*	4.560943739
hsa-miR-375	8.959860652
hsa-miR-376a	9.408110523
hsa-miR-376a*	4.832737031
hsa-miR-376b	5.174035844
hsa-miR-376c	9.808387574
hsa-miR-377	9.046987781
hsa-miR-377*	4.8108568
hsa-miR-378	9.56295308
hsa-miR-378*	5.104717334
hsa-miR-379	7.681467242
hsa-miR-379*	4.643242383
hsa-miR-380	4.667156802
hsa-miR-380*	4.589248489
hsa-miR-381	8.397113442
hsa-miR-382	5.63335687
hsa-miR-383	4.797345921
hsa-miR-384	4.61625094
hsa-miR-409-3p	5.787500263
